Phylum,Genus
Abawacabacteria,
Abditibacteriota,
Abditibacteriota,Abditibacterium
Abyssubacteria,
Acetothermia,
Acetothermia,Acetothermum
Acidobacteria,
Acidobacteria,Acanthopleuribacter
Acidobacteria,Acidicapsa
Acidobacteria,Acidipila
Acidobacteria,Acidobacterium
Acidobacteria,Arenimicrobium
Acidobacteria,Aridibacter
Acidobacteria,Blastocatella
Acidobacteria,Brevitalea
Acidobacteria,Bryobacter
Acidobacteria,Bryocella
Acidobacteria,Chloracidobacterium
Acidobacteria,Edaphobacter
Acidobacteria,Geothrix
Acidobacteria,Granulicella
Acidobacteria,Holophaga
Acidobacteria,Koribacter
Acidobacteria,Luteitalea
Acidobacteria,Occallatibacter
Acidobacteria,Paludibaculum
Acidobacteria,Pyrinomonas
Acidobacteria,Silvibacterium
Acidobacteria,Solibacter
Acidobacteria,Stenotrophobacter
Acidobacteria,Sulfopaludibacter
Acidobacteria,Sulfotelmatobacter
Acidobacteria,Sulfotelmatomonas
Acidobacteria,Tellurimicrobium
Acidobacteria,Telmatobacter
Acidobacteria,Terracidiphilus
Acidobacteria,Terriglobus
Acidobacteria,Thermoanaerobaculum
Acidobacteria,Thermotomaculum
Acidobacteria,Vicinamibacter
Actinobacteria,
Actinobacteria,Acaricomes
Actinobacteria,Acidimicrobium
Actinobacteria,Acidipropionibacterium
Actinobacteria,Aciditerrimonas
Actinobacteria,Acidithiomicrobium
Actinobacteria,Acidithrix
Actinobacteria,Acidothermus
Actinobacteria,Acrocarpospora
Actinobacteria,Actinaurispora
Actinobacteria,Actinoallomurus
Actinobacteria,Actinoalloteichus
Actinobacteria,Actinobaculum
Actinobacteria,Actinocatenispora
Actinobacteria,Actinocorallia
Actinobacteria,Actinocrinis
Actinobacteria,Actinocrispum
Actinobacteria,Actinokineospora
Actinobacteria,Actinomadura
Actinobacteria,Actinomarina
Actinobacteria,Actinomyces
Actinobacteria,Actinomycetospora
Actinobacteria,Actinophytocola
Actinobacteria,Actinoplanes
Actinobacteria,Actinopolymorpha
Actinobacteria,Actinopolyspora
Actinobacteria,Actinorectispora
Actinobacteria,Actinorhabdospora
Actinobacteria,Actinorugispora
Actinobacteria,Actinospica
Actinobacteria,Actinosynnema
Actinobacteria,Actinotalea
Actinobacteria,Actinotignum
Actinobacteria,Adlercreutzia
Actinobacteria,Aeriscardovia
Actinobacteria,Aeromicrobium
Actinobacteria,Aestuariimicrobium
Actinobacteria,Agreia
Actinobacteria,Agrococcus
Actinobacteria,Agromyces
Actinobacteria,Alloactinosynnema
Actinobacteria,Allobranchiibius
Actinobacteria,Allocatelliglobosispora
Actinobacteria,Allohumibacter
Actinobacteria,Allokutzneria
Actinobacteria,Allonocardiopsis
Actinobacteria,Allosalinactinospora
Actinobacteria,Alloscardovia
Actinobacteria,Allostreptomyces
Actinobacteria,Alpinimonas
Actinobacteria,Amnibacterium
Actinobacteria,Amycolatopsis
Actinobacteria,Amycolicicoccus
Actinobacteria,Ancillula
Actinobacteria,Angustibacter
Actinobacteria,Antricoccus
Actinobacteria,Aquihabitans
Actinobacteria,Aquiluna
Actinobacteria,Aquipuribacter
Actinobacteria,Arabia
Actinobacteria,Arcanobacterium
Actinobacteria,Arenivirga
Actinobacteria,Arsenicicoccus
Actinobacteria,Arthrobacter
Actinobacteria,Asaccharobacter
Actinobacteria,Asanoa
Actinobacteria,Astrosporangium
Actinobacteria,Atopobium
Actinobacteria,Aurantimicrobium
Actinobacteria,Auraticoccus
Actinobacteria,Auritidibacter
Actinobacteria,Austwickia
Actinobacteria,Baekduia
Actinobacteria,Barrientosiimonas
Actinobacteria,Beutenbergia
Actinobacteria,Bifidobacterium
Actinobacteria,Blastococcus
Actinobacteria,Bogoriella
Actinobacteria,Bombiscardovia
Actinobacteria,Bounagaea
Actinobacteria,Boyliae
Actinobacteria,Brachybacterium
Actinobacteria,Branchiibius
Actinobacteria,Brevibacterium
Actinobacteria,Brooklawnia
Actinobacteria,Calidifontibacter
Actinobacteria,Canibacter
Actinobacteria,Catellatospora
Actinobacteria,Catelliglobosispora
Actinobacteria,Catenulispora
Actinobacteria,Catenuloplanes
Actinobacteria,Cathayosporangium
Actinobacteria,Cellulomonas
Actinobacteria,Cellulosimicrobium
Actinobacteria,Chryseoglobus
Actinobacteria,Citricoccus
Actinobacteria,Clavibacter
Actinobacteria,Clavisporangium
Actinobacteria,Cnuibacter
Actinobacteria,Collinsella
Actinobacteria,Compostimonas
Actinobacteria,Conexibacter
Actinobacteria,Conyzicola
Actinobacteria,Coriobacterium
Actinobacteria,Corynebacterium
Actinobacteria,Couchioplanes
Actinobacteria,Crocebacterium
Actinobacteria,Crossiella
Actinobacteria,Cryobacterium
Actinobacteria,Cryocola
Actinobacteria,Cryptobacterium
Actinobacteria,Cryptosporangium
Actinobacteria,Cumulibacter
Actinobacteria,Curtobacterium
Actinobacteria,Cutibacterium
Actinobacteria,Dactylosporangium
Actinobacteria,Demequina
Actinobacteria,Demetria
Actinobacteria,Denitrobacterium
Actinobacteria,Dermabacter
Actinobacteria,Dermacoccus
Actinobacteria,Dermatophilus
Actinobacteria,Desertimonas
Actinobacteria,Devriesea
Actinobacteria,Diaminobutyricibacter
Actinobacteria,Diaminobutyricimonas
Actinobacteria,Dietzia
Actinobacteria,Eggerthella
Actinobacteria,Egibacter
Actinobacteria,Egicoccus
Actinobacteria,Ellagibacter
Actinobacteria,Enorma
Actinobacteria,Enteractinococcus
Actinobacteria,Enterorhabdus
Actinobacteria,Enteroscipio
Actinobacteria,Epidermidibacterium
Actinobacteria,Euzebya
Actinobacteria,Falsarthrobacter
Actinobacteria,Ferrimicrobium
Actinobacteria,Ferrithrix
Actinobacteria,Flaviflexus
Actinobacteria,Flaviluna
Actinobacteria,Flexivirga
Actinobacteria,Flindersiella
Actinobacteria,Fodinibacter
Actinobacteria,Fodinicola
Actinobacteria,Frankia
Actinobacteria,Friedmanniella
Actinobacteria,Frigoribacterium
Actinobacteria,Frondicola
Actinobacteria,Frondihabitans
Actinobacteria,Gaiella
Actinobacteria,Galbitalea
Actinobacteria,Galliscardovia
Actinobacteria,Gardnerella
Actinobacteria,Garicola
Actinobacteria,Geodermatophilus
Actinobacteria,Georgenia
Actinobacteria,Glaciibacter
Actinobacteria,Glaciihabitans
Actinobacteria,Glutamicibacter
Actinobacteria,Glycomyces
Actinobacteria,Goodfellowiella
Actinobacteria,Gordonia
Actinobacteria,Gordonibacter
Actinobacteria,Granulicoccus
Actinobacteria,Gryllotalpicola
Actinobacteria,Gulosibacter
Actinobacteria,Haematomicrobium
Actinobacteria,Haloactinobacterium
Actinobacteria,Haloactinomyces
Actinobacteria,Haloactinopolyspora
Actinobacteria,Haloactinospora
Actinobacteria,Haloechinothrix
Actinobacteria,Haloglycomyces
Actinobacteria,Halopolyspora
Actinobacteria,Hamadaea
Actinobacteria,Helcobacillus
Actinobacteria,Herbiconiux
Actinobacteria,Herbidospora
Actinobacteria,Herbihabitans
Actinobacteria,Homoserinibacter
Actinobacteria,Homoserinimonas
Actinobacteria,Hoyosella
Actinobacteria,Huakuichenia
Actinobacteria,Hugonella
Actinobacteria,Humibacillus
Actinobacteria,Humibacter
Actinobacteria,Humicoccus
Actinobacteria,Humihabitans
Actinobacteria,Iamia
Actinobacteria,Ilumatobacter
Actinobacteria,Intrasporangium
Actinobacteria,Isoptericola
Actinobacteria,Janibacter
Actinobacteria,Jatrophihabitans
Actinobacteria,Jiangella
Actinobacteria,Jishengella
Actinobacteria,Jonesia
Actinobacteria,Kibdelosporangium
Actinobacteria,Kineococcus
Actinobacteria,Kineosphaera
Actinobacteria,Kineosporia
Actinobacteria,Kitasatospora
Actinobacteria,Klenkia
Actinobacteria,Klugiella
Actinobacteria,Knoellia
Actinobacteria,Kocuria
Actinobacteria,Koreibacter
Actinobacteria,Krasilnikovia
Actinobacteria,Krasilnikoviella
Actinobacteria,Kribbella
Actinobacteria,Kribbia
Actinobacteria,Kutzneria
Actinobacteria,Kytococcus
Actinobacteria,Labedaea
Actinobacteria,Labedella
Actinobacteria,Lapillicoccus
Actinobacteria,Lawsonella
Actinobacteria,Lechevalieria
Actinobacteria,Leifsonia
Actinobacteria,Lentzea
Actinobacteria,Leucobacter
Actinobacteria,Libanicoccus
Actinobacteria,Limnoluna
Actinobacteria,Lipingzhangella
Actinobacteria,Longimycelium
Actinobacteria,Longispora
Actinobacteria,Longivirga
Actinobacteria,Luedemannella
Actinobacteria,Luethyella
Actinobacteria,Lumbricidophila
Actinobacteria,Luteimicrobium
Actinobacteria,Luteipulveratus
Actinobacteria,Luteococcus
Actinobacteria,Lysinibacter
Actinobacteria,Lysinimicrobium
Actinobacteria,Lysinimonas
Actinobacteria,Mangrovihabitans
Actinobacteria,Marihabitans
Actinobacteria,Marinactinospora
Actinobacteria,Marinateneraspora
Actinobacteria,Mariniluteicoccus
Actinobacteria,Marisediminicola
Actinobacteria,Marmoricola
Actinobacteria,Metascardovia
Actinobacteria,Methylotetracoccus
Actinobacteria,Microbacterium
Actinobacteria,Microbispora
Actinobacteria,Microcella
Actinobacteria,Micrococcoides
Actinobacteria,Micrococcus
Actinobacteria,Microlunatus
Actinobacteria,Micromonospora
Actinobacteria,Micropruina
Actinobacteria,Microterricola
Actinobacteria,Microtetraspora
Actinobacteria,Microthrix
Actinobacteria,Millisia
Actinobacteria,Miniimonas
Actinobacteria,Mobilicoccus
Actinobacteria,Mobiluncus
Actinobacteria,Modestobacter
Actinobacteria,Monashia
Actinobacteria,Motilibacter
Actinobacteria,Mumia
Actinobacteria,Murinocardiopsis
Actinobacteria,Myceligenerans
Actinobacteria,Mycetocola
Actinobacteria,Mycobacterium
Actinobacteria,Mycobacteroides
Actinobacteria,Mycolicibacillus
Actinobacteria,Mycolicibacter
Actinobacteria,Mycolicibacterium
Actinobacteria,Mzabimyces
Actinobacteria,Naasia
Actinobacteria,Nakamurella
Actinobacteria,Nanopelagicus
Actinobacteria,Naumannella
Actinobacteria,Neomicrococcus
Actinobacteria,Neoscardovia
Actinobacteria,Nesterenkonia
Actinobacteria,Nigerium
Actinobacteria,Nitriliruptor
Actinobacteria,Nocardia
Actinobacteria,Nocardioides
Actinobacteria,Nocardiopsis
Actinobacteria,Nonomuraea
Actinobacteria,Nostocoida type II
Actinobacteria,Oceanitalea
Actinobacteria,Oerskovia
Actinobacteria,Okibacterium
Actinobacteria,Olegusella
Actinobacteria,Olsenella
Actinobacteria,Ornithinibacter
Actinobacteria,Ornithinicoccus
Actinobacteria,Ornithinimicrobium
Actinobacteria,Oryzihumus
Actinobacteria,Oryzobacter
Actinobacteria,Paenarthrobacter
Actinobacteria,Paeniglutamicibacter
Actinobacteria,Paraeggerthella
Actinobacteria,Parafrigoribacterium
Actinobacteria,Paraglycomyces
Actinobacteria,Paraoerskovia
Actinobacteria,Parascardovia
Actinobacteria,Parastreptomyces
Actinobacteria,Parolsenella
Actinobacteria,Parvibacter
Actinobacteria,Parviterribacter
Actinobacteria,Parvopolyspora
Actinobacteria,Patulibacter
Actinobacteria,Phoenicibacter
Actinobacteria,Phycicoccus
Actinobacteria,Phycicola
Actinobacteria,Phytoactinopolyspora
Actinobacteria,Phytohabitans
Actinobacteria,Phytomonospora
Actinobacteria,Pilimelia
Actinobacteria,Pimelobacter
Actinobacteria,Piscicoccus
Actinobacteria,Planktoluna
Actinobacteria,Planktophila
Actinobacteria,Planobispora
Actinobacteria,Planomonospora
Actinobacteria,Planosporangium
Actinobacteria,Planotetraspora
Actinobacteria,Plantactinospora
Actinobacteria,Plantibacter
Actinobacteria,Polymorphospora
Actinobacteria,Ponticoccus*
Actinobacteria,Pontimonas
Actinobacteria,Populibacterium
Actinobacteria,Prauserella
Actinobacteria,Prauseria
Actinobacteria,Promicromonospora
Actinobacteria,Propionibacterium
Actinobacteria,Propionicicella
Actinobacteria,Propioniciclava
Actinobacteria,Propionicimonas
Actinobacteria,Propioniferax
Actinobacteria,Propionimicrobium
Actinobacteria,Pseudactinotalea
Actinobacteria,Pseudarthrobacter
Actinobacteria,Pseudoclavibacter
Actinobacteria,Pseudoglutamicibacter
Actinobacteria,Pseudokineococcus
Actinobacteria,Pseudonocardia
Actinobacteria,Pseudopropionibacterium
Actinobacteria,Pseudoscardovia
Actinobacteria,Pseudosporangium
Actinobacteria,Psychromicrobium
Actinobacteria,Puzihella
Actinobacteria,Quadrisphaera
Actinobacteria,Raineyella
Actinobacteria,Raoultibacter
Actinobacteria,Rarobacter
Actinobacteria,Rathayibacter
Actinobacteria,Renibacterium
Actinobacteria,Rhizocola
Actinobacteria,Rhodococcus
Actinobacteria,Rhodoglobus
Actinobacteria,Rhodoluna
Actinobacteria,Rothia
Actinobacteria,Ruania
Actinobacteria,Rubneribacter
Actinobacteria,Rubrobacter
Actinobacteria,Rudaeicoccus
Actinobacteria,Rudaibacter
Actinobacteria,Rugosimonospora
Actinobacteria,Saccharomonospora
Actinobacteria,Saccharopolyspora
Actinobacteria,Saccharothrix
Actinobacteria,Saccharothrixopsis
Actinobacteria,Salana
Actinobacteria,Salilacibacter
Actinobacteria,Salinactinospora
Actinobacteria,Salinibacterium
Actinobacteria,Salinifilum
Actinobacteria,Salininema
Actinobacteria,Salinispora
Actinobacteria,Sanguibacter
Actinobacteria,Saxeibacter
Actinobacteria,Scardovia
Actinobacteria,Schumannella
Actinobacteria,Sciscionella
Actinobacteria,Sediminihabitans
Actinobacteria,Sediminivirga
Actinobacteria,Segniliparus
Actinobacteria,Senegalimassilia
Actinobacteria,Serinibacter
Actinobacteria,Serinicoccus
Actinobacteria,Sinomonas
Actinobacteria,Sinosporangium
Actinobacteria,Skermania
Actinobacteria,Slackia
Actinobacteria,Smaragdicoccus
Actinobacteria,Solirubrobacter
Actinobacteria,Solwaraspora
Actinobacteria,Spelaeicoccus
Actinobacteria,Sphaerimonospora
Actinobacteria,Sphaerisporangium
Actinobacteria,Spinactinospora
Actinobacteria,Spirilliplanes
Actinobacteria,Spirillospora
Actinobacteria,Sporichthya
Actinobacteria,Stackebrandtia
Actinobacteria,Streptacidiphilus
Actinobacteria,Streptimonospora
Actinobacteria,Streptoalloteichus
Actinobacteria,Streptomonospora
Actinobacteria,Streptomyces
Actinobacteria,Streptosporangium
Actinobacteria,Subtercola
Actinobacteria,Tamaricihabitans
Actinobacteria,Tamlicoccus
Actinobacteria,Tenggerimyces
Actinobacteria,Terrabacter
Actinobacteria,Terracoccus
Actinobacteria,Tersicoccus
Actinobacteria,Tessaracoccus
