,Journal,Article Title,Year,Affiliation,Country
57,International journal of systematic and evolutionary microbiology,"Pectobacterium punjabense sp. nov., isolated from blackleg symptoms of potato plants in Pakistan.",2018,"1​Department of Plant Pathology, Faculty of Agriculture, University of Agriculture Faisalabad (UAF), 38000 Faisalabad, Pakistan.",pakistan
198,"Journal of microbiology (Seoul, Korea)","Taxonomic description and draft genome of Pseudomonas sediminis sp. nov., isolated from the rhizospheric sediment of Phragmites karka.",2018,"Wetland Research and Training Centre, Chilika Development Authority, Balugaon, Odisha, 752030, India.",india
308,Systematic and applied microbiology,"Bradyrhizobium algeriense sp. nov., a novel species isolated from effective nodules of Retama sphaerocarpa from Northeastern Algeria.",2018,"Laboratoire d'Ecologie Microbienne, Faculté des Sciences de la Nature et de la Vie, Université de Bejaia, 06000 Bejaia, Algeria.",algeria
466,International journal of systematic and evolutionary microbiology,Listeria costaricensis sp. nov.,2018,"1​Centro de Investigación en Biotecnología, Escuela de Biología, Instituto Tecnológico de Costa Rica, Cartago, Costa Rica.",costa rica
544,International journal of systematic and evolutionary microbiology,"Leptospira venezuelensis sp. nov., a new member of the intermediate group isolated from rodents, cattle and humans.",2018,"1​Unidad de Estudios Genéticos y Forenses, Instituto Venezolano de Investigaciones Científicas, Venezuela.",venezuela
639,International journal of systematic and evolutionary microbiology,"Sphingomonas jatrophae sp. nov. and Sphingomonas carotinifaciens sp. nov., two yellow-pigmented endophytes isolated from stem tissues of Jatropha curcas L.",2017,"1​Biomaterials and Biocatalysts Group, Temasek Life Sciences Laboratory, National University of Singapore, 1 Research Link, Singapore 117604, Singapore.",singapore
784,Journal of fish diseases,"Candidatus Actinochlamydia pangasiae sp. nov. (Chlamydiales, Actinochlamydiaceae), a bacterium associated with epitheliocystis in Pangasianodon hypophthalmus.",2018,"ICAR-National Bureau of Fish Genetic Resources, Lucknow, Uttar Pradesh, India.",india
811,International journal of systematic and evolutionary microbiology,"Salinifilum gen. nov., with description of Salinifilum proteinilyticum sp. nov., an extremely halophilic actinomycete isolated from Meighan wetland, Iran, and reclassification of Saccharopolyspora aidingensis as Salinifilum aidingensis comb. nov. and Saccharopolyspora ghardaiensis as Salinifilum ghardaiensis comb. nov.",2017,"1​Microorganisms Bank, Iranian Biological Resource Centre (IBRC), ACECR, Tehran, Iran.",iran
1122,International journal of systematic and evolutionary microbiology,"Paenibacillus polysaccharolyticus sp. nov., a xylanolytic and cellulolytic bacteria isolated from leaves of Bamboo Phyllostachys aureosulcata.",2017,"1​Department of Agricultural Microbiology, Tamilnadu Agricultural University, Coimbatore 641 003, Tamilnadu, India 2​Temasek Lifesciences Laboratory, 1 Research Link, National University of Singapore, Singapore 117604, Singapore.",india
1129,International journal of systematic and evolutionary microbiology,Bradyrhizobium cajani sp. nov. isolated from nodules of Cajanus cajan.,2017,"1​Facultad de Ciencias Agronómicas y Veterinarias, Universidad Autónoma de Santo Domingo, Santo Domingo, Dominican Republic.",dominican republic
1177,Antonie van Leeuwenhoek,"Emended description of the family Chromatiaceae, phylogenetic analyses of the genera Alishewanella, Rheinheimera and Arsukibacterium, transfer of Rheinheimera longhuensis LH2-2T to the genus Alishewanella and description of Alishewanella alkalitolerans sp. nov. from Lonar Lake, India.",2017,"Laboratory for Conservation of Endangered Species (LaCONES), CSIR-Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500007, India.",india
1198,Antonie van Leeuwenhoek,"Paenibacillus aquistagni sp. nov., isolated from an artificial lake accumulating industrial wastewater.",2017,"Department of Biology, Faculty of Natural Sciences and Mathematics, University of Maribor, Maribor, Slovenia.",slovenia
1223,Microbes and environments,"Streptomyces cameroonensis sp. nov., a Geldanamycin Producer That Promotes Theobroma cacao Growth.",2017,"Laboratory of Phytoprotection and Valorization of Plants Resources, Biotechnology Centre-Nkolbisson.",cameroon
1266,International journal of systematic and evolutionary microbiology,"Campylobacter ornithocola sp. nov., a novel member of the Campylobacter lari group isolated from wild bird faecal samples.",2017,"1​Institute of Biochemistry and Microbiology, Faculty of Sciences, Universidad Austral de Chile, Valdivia, Chile.",chile
1312,International journal of systematic and evolutionary microbiology,"Aliidiomarina sedimenti sp. nov., a haloalkaliphilic bacterium in the family Idiomarinaceae.",2017,"1​Microorganisms Bank, Iranian Biological Resource Centre (IBRC), ACECR, Tehran, Iran.",iran
1364,Current microbiology,"Virgibacillus ainsalahensis sp. nov., a Moderately Halophilic Bacterium Isolated from Sediment of a Saline Lake in South of Algeria.",2017,"Microbiology Group, Laboratory of Cellular and Molecular Biology, Faculty of Biology, USTHB, BP 32, El Alia, Bab Ezzouar, Algiers, Algeria.",algeria
1373,Antonie van Leeuwenhoek,"Saccharothrix ghardaiensis sp. nov., an actinobacterium isolated from Saharan soil.",2017,"Laboratoire de Biologie des Systèmes Microbiens (LBSM), Ecole Normale Supérieure de Kouba, Algiers, Algeria.",algeria
1412,International journal of systematic and evolutionary microbiology,"Macrococcus canis sp. nov., a skin bacterium associated with infections in dogs.",2017,"Institute of Veterinary Bacteriology, Vetsuisse Faculty, University of Bern, Bern.",switzerland
1458,International journal of systematic and evolutionary microbiology,"Aeromicrobium choanae sp. nov., an actinobacterium isolated from the choana of a garden warbler.",2017,"1​Department of Biology, Faculty of Natural Sciences and Mathematics, University of Maribor, Maribor, Slovenia.",slovenia
1465,International journal of systematic and evolutionary microbiology,"Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobic sewage sludge digester.",2017,"2​Université de Pau et des Pays de l'Adour, CNRS, IPREM UMR 5254, Equipe Environnement et Microbiologie, 64013 Pau, France 1​Anaerobic Microbiology Team (E02B26), Sciences and Techniques Faculty, Cadi Ayyad University PO Box 549, 40 000 Marrakech, Morocco.",france
1512,Antonie van Leeuwenhoek,"Planomonospora algeriensis sp. nov., an actinobacterium isolated from a Saharan soil of Algeria.",2017,"Laboratoire de Biologie des Systèmes Microbiens (LBSM), Ecole Normale Supérieure de Kouba, Alger, Algeria.",algeria
1515,Microbiology and immunology,Legionella clemsonensis sp. nov.: a green fluorescing Legionella strain from a patient with pneumonia.,2016,"Department of Biological Sciences, Life Sciences Building.",united states of america
1633,International journal of systematic and evolutionary microbiology,"Saccharothrix isguenensis sp. nov., an actinobacterium isolated from desert soil.",2016,"1​Laboratoire de Biologie des Systèmes Microbiens (LBSM), Ecole Normale Supérieure de Kouba, Algiers, Algeria.",algeria
1702,International journal of systematic and evolutionary microbiology,"Paenibacillus methanolicus sp. nov., a xylanolytic, methanol-utilizing bacterium isolated from the phyllosphere of bamboo (Pseudosasa japonica).",2016,"1​Department of Agricultural Microbiology, Tamilnadu Agricultural University, Coimbatore 641003, Tamilnadu, India 2​Temasek Lifesciences Laboratory, 1 Research Link, National University of Singapore, Singapore 117604, Singapore.",india
1897,International journal of systematic and evolutionary microbiology,"Paenibacillus cisolokensis sp. nov., isolated from litter of a geyser.",2016,"1​ Department of Biology, Faculty of Mathematics and Natural Sciences, Universitas Indonesia, Kampus UI Depok, 16424, Indonesia 2​ Center of Excellence for Indigenous Biological Resources-Genome Studies, Faculty of Mathematics and Natural Sciences, Universitas Indonesia, Kampus UI Depok, 16424, Indonesia.",indonesia
1908,Mikrobiologiia,"[Desulfovibrio hontreensis sp. nov., a Sulfate-Reducing Bacterium Isolated from Marine Biofoulings at the South Vietnam Coastal Area].",2015,"1​ Kitasato Institute for Life Sciences, Kitasato University, 5-9-1 Shirokane, Minato-ku, Tokyo 108-8641, Japan.",japan
1910,Current microbiology,"Mycobacterium icosiumassiliensis sp. nov., a New Member in the Mycobacterium terrae Complex Isolated from Surface Water in Algeria.",2016,"Laboratoire de Biologie Cellulaire et Moléculaire, Equipe de Microbiologie, Faculté des Sciences Biologiques, USTHB, BP n°32, Bab ezzouar, Alger, Algerie.",algeria
