name,freq,error
Acidovorax oryzae sp. Nov,1,abbreviated
Amycolatopsis tolypomycina sp. nov,1,abbreviated
Amycolatopsis vancoresmycina sp. nov,1,abbreviated
Abditibacterium utsteinense sp. nov,1,
Absiella argi gen. nov,1,
Abyssibacter profundi gen. nov,1,
Abyssicoccus albus gen. nov,1,
Abyssisolibacter fermentans gen. nov,1,
Abyssivirga alkaniphila gen. nov,1,
Acanthopleuribacter pedis gen. nov,1,
Acaricomes phytoseiuli gen. nov,1,
Acetanaerobacterium elongatum gen. nov,1,
Acetatifactor muris gen. nov,1,
Acetoanaerobium pronyense sp. nov,1,
Acetobacter ascendens sp. nov,1,
Acetobacter cerevisiae sp. nov,1,
Acetobacter fabarum sp. nov,1,
Acetobacter farinalis sp. nov,1,
Acetobacter ghanensis sp. nov,1,
Acetobacter lambici sp. nov,1,
Acetobacter malorum sp. nov,1,
Acetobacter nitrogenifigens sp. nov,1,
Acetobacter oeni sp. nov,1,
Acetobacter okinawensis sp. nov,1,
Acetobacter oryzifermentans sp. nov,1,
Acetobacter papayae sp. nov,1,
Acetobacter persicus sp. nov,1,
Acetobacter senegalensis sp. nov,1,
Acetobacter sicerae sp. nov,1,
Acetobacteroides hydrogenigenes gen. nov,1,
Achromobacter aegrifaciens sp. nov,1,
Achromobacter agilis sp. nov,1,
Achromobacter aloeverae sp. nov,1,
Achromobacter animicus sp. nov,1,
Achromobacter anxifer sp. nov,1,
Achromobacter deleyi sp. nov,1,
Achromobacter dolens sp. nov,1,
Achromobacter insolitus sp. nov,1,
Achromobacter insuavis sp. nov,1,
Achromobacter kerstersii sp. nov,1,
Achromobacter marplatensis sp. nov,1,
Achromobacter mucicolens sp. nov,1,
Achromobacter panacis sp. nov,1,
Achromobacter pestifer sp. nov,1,
Achromobacter pulmonis sp. nov,1,
Achromobacter sediminum sp. nov,1,
Achromobacter spanius sp. nov,1,
Achromobacter spiritinus sp. nov,1,
Acidaminococcus intestini sp. nov,1,
Acidicapsa acidiphila sp. nov,1,
Acidicapsa acidisoli sp. nov,1,
Acidicapsa borealis gen. nov,1,
Acidicapsa dinghuensis sp. nov,1,
Acidicapsa ferrireducens sp. nov,1,
Acidicapsa ligni sp. nov,1,
Acidihalobacter prosperus gen. nov,1,
Acidiphilium iwatense sp. nov,1,
Acidipila dinghuensis sp. nov,1,
Acidipila rosea gen. nov,1,
Acidipropionibacterium virtanenii sp. nov,1,
Acidisoma sibiricum sp. nov,1,
Acidisoma tundrae gen. nov,1,
Aciditerrimonas ferrireducens gen. nov,1,
Acidithiobacillus ferridurans sp. nov,1,
Acidithiobacillus ferriphilus sp. nov,1,
Acidithrix ferrooxidans gen. nov,1,
Acidobacterium ailaaui sp. nov,1,
Acidocella aluminiidurans sp. nov,1,
Acidocella aquatica sp. nov,1,
Acidocella aromatica sp. nov,1,
Acidovorax caeni sp. nov,1,
Acidovorax carolinensis sp. nov,1,
Acidovorax kalamii sp. nov,1,
Acidovorax lacteus sp. nov,1,
Acidovorax monticola sp. nov,1,
Acidovorax radicis sp. nov,1,
Acidovorax soli sp. nov,1,
Acidovorax valerianellae sp. nov,1,
Acidovorax wautersii sp. nov,1,
Acinetobacter antiviralis sp. nov,1,
Acinetobacter apis sp. nov,1,
Acinetobacter beijerinckii sp. nov,1,
Acinetobacter bereziniae sp. nov,1,
Acinetobacter bohemicus sp. nov,1,
Acinetobacter boissieri sp. nov,1,
Acinetobacter brisouii sp. nov,1,
Acinetobacter colistiniresistens sp. nov,1,
Acinetobacter courvalinii sp. nov,1,
Acinetobacter defluvii sp. nov,1,
Acinetobacter dijkshoorniae sp. nov,1,
Acinetobacter dispersus sp. nov,1,
Acinetobacter gandensis sp. nov,1,
Acinetobacter guangdongensis sp. nov,1,
Acinetobacter guillouiae sp. nov,1,
Acinetobacter gyllenbergii sp. nov,1,
Acinetobacter halotolerans sp. nov,1,
Acinetobacter harbinensis sp. nov,1,
Acinetobacter indicus sp. nov,1,
Acinetobacter kookii sp. nov,1,
Acinetobacter lactucae sp. nov,1,
Acinetobacter larvae sp. nov,1,
Acinetobacter marinus sp. nov,1,
Acinetobacter modestus sp. nov,1,
Acinetobacter nectaris sp. nov,1,
Acinetobacter nosocomialis sp. nov,1,
Acinetobacter oryzae sp. nov,1,
Acinetobacter parvus sp. nov,1,
Acinetobacter piscicola sp. nov,1,
Acinetobacter pittii sp. nov,1,
Acinetobacter plantarum sp. nov,1,
Acinetobacter populi sp. nov,1,
Acinetobacter pragensis sp. nov,1,
Acinetobacter proteolyticus sp. nov,1,
Acinetobacter puyangensis sp. nov,1,
Acinetobacter qingfengensis sp. nov,1,
Acinetobacter rudis sp. nov,1,
Acinetobacter schindleri sp. nov,1,
Acinetobacter seifertii sp. nov,1,
Acinetobacter seohaensis sp. nov,1,
Acinetobacter septicus sp. nov,1,
Acinetobacter sichuanensis sp. nov,1,
Acinetobacter soli sp. nov,1,
Acinetobacter ursingii sp. nov,1,
Acinetobacter variabilis sp. nov,1,
Acinetobacter vivianii sp. nov,1,
Acinetobacter wuhouensis sp. nov,1,
Acinetobacter celticus sp. nov,1,merged
Acrocarpospora phusangensis sp. nov,1,
Actibacter haliotis sp. nov,1,
Actibacter sediminis gen. nov,1,
Actibacterium atlanticum sp. nov,1,
Actibacterium mucosum gen. nov,1,
Actibacterium pelagium sp. nov,1,
Actibacterium ureilyticum sp. nov,1,
Actimicrobium antarcticum gen. nov,1,
Actinaurispora siamensis gen. nov,1,
Actinoallomurus acaciae sp. nov,1,
Actinoallomurus acanthiterrae sp. nov,1,
Actinoallomurus amamiensis sp. nov,1,
Actinoallomurus bryophytorum sp. nov,1,
Actinoallomurus caesius sp. nov,1,
Actinoallomurus coprocola sp. nov,1,
Actinoallomurus fulvus sp. nov,1,
Actinoallomurus iriomotensis sp. nov,1,
Actinoallomurus luridus sp. nov,1,
Actinoallomurus oryzae sp. nov,1,
Actinoallomurus purpureus sp. nov,1,
Actinoallomurus radicium sp. nov,1,
Actinoallomurus spadix gen. nov,1,
Actinoallomurus yoronensis sp. nov,1,
Actinoalloteichus fjordicus sp. nov,1,
