Name	Year
Abiotrophia adiacens	1995
Abiotrophia balaenopterae	1999
Abiotrophia defectiva	1995
Abiotrophia elegans	1999
Abyssicoccus albus	2016
Abyssivirga alkaniphila	2016
Acanthopleuribacter pedis	2008
Acaricomes phytoseiuli	2006
Acetanaerobacterium elongatum	2004
Acetatifactor muris	2013
Acetitomaculum ruminis	1995
Acetivibrio cellulolyticus	1980
Acetivibrio cellulosolvens	1984
Acetivibrio ethanolgignens	1981
Acetivibrio multivorans	1992
Acetoanaerobium noterae	1985
Acetoanaerobium pronyense	2015
Acetobacter aceti	1898
Acetobacter cerevisiae	2002
Acetobacter cibinongensis	2002
Acetobacter diazotrophicus	1989
Acetobacter estunensis	2001
Acetobacter europaeus	1992
Acetobacter fabarum	2008
Acetobacter farinalis	2011
Acetobacter ghanensis	2007
Acetobacter hansenii	1983
Acetobacter indonesiensis	2001
Acetobacter intermedius	1998
Acetobacterium bakii	1997
Acetobacterium carbinolicum	1985
Acetobacterium fimetarium	1997
Acetobacterium malicum	1990
Acetobacterium paludosum	1997
Acetobacterium tundrae	2001
Acetobacterium wieringae	1983
Acetobacterium woodii	1977
Acetobacter lambici	2014
Acetobacter liquefaciens	1983
Acetobacter liquefaciens	1984
Acetobacter lovaniensis	2001
Acetobacter malorum	2002
Acetobacter methanolicus	1986
Acetobacter musti	2016
Acetobacter nitrogenifigens	2006
Acetobacter oboediens	1998
Acetobacter oeni	2006
Acetobacteroides hydrogenigenes	2014
Acetobacter okinawensis	2013
Acetobacter orientalis	2002
Acetobacter orleanensis	2001
Acetobacter papayae	2013
Acetobacter pasteurianus	1916
Acetobacter peroxydans	1925
Acetobacter persici	2013
Acetobacter pomorum	1998
Acetobacter senegalensis	2007
Acetobacter sicerae	2014
Acetobacter suratthaniensis	2016
Acetobacter syzygii	2002
Acetobacter thailandicus	2016
Acetobacter tropicalis	2001
Acetobacter xylinus	1984
Acetobacter Yamada	1985
Acetofilamentum rigidum	1989
Acetogenium kivui	1983
Acetohalobium arabaticum	1990
Acetomicrobium faecale	1988
Acetomicrobium flavidum	1985
Acetomicrobium hydrogeniformans	2016
Acetomicrobium mobile	2016
Acetomicrobium thermoterrenum	2016
Acetonema longum	1992
Acetothermus paucivorans	1988
Acholeplasma axanthum	1970
Acholeplasma brassicae	1994
Acholeplasma cavigenitalium	1992
Acholeplasma entomophilum	1988
Acholeplasma equifetale	1974
Acholeplasma florum	1984
Acholeplasma granularum	1970
Acholeplasma hippikon	1974
Acholeplasma laidlawii	1970
Acholeplasma modicum	1973
Acholeplasma morum	1980
Acholeplasma multilocale	1992
Acholeplasma oculi	1973
Acholeplasma palmae	1994
Acholeplasma parvum	1983
Acholeplasma pleciae	2004
Acholeplasma seiffertii	1991
Acholeplasma vituli	2000
Achromatium oxaliferum	1893
Achromobacter aegrifaciens	2014
Achromobacter agilis	2016
Achromobacter aloeverae	2017
Achromobacter animicus	2013
Achromobacter anxifer	2014
Achromobacter deleyi	2016
Achromobacter denitrificans	2003
Achromobacter dolens	2014
Achromobacter insolitus	2003
Achromobacter insuavis	2014
Achromobacter kerstersii	2016
Achromobacter marplatensis	2011
Achromobacter mucicolens	2013
Achromobacter pestifer	2016
Achromobacter piechaudii	1998
Achromobacter pulmonis	2013
Achromobacter ruhlandii	1998
Achromobacter sediminum	2014
Achromobacter spanius	2003
Achromobacter spiritinus	2013
Achromobacter xylosoxidans	1981
Acidaminobacter hydrogenoformans	1985
Acidaminococcus fermentans	1969
Acidaminococcus intestini	2007
Acidianus ambivalens	1996
Acidianus brierleyi	1986
Acidianus infernus	1986
Acidianus sulfidivorans	2007
Acidibacter ferrireducens	2017
Acidicaldus organivorans	2006
Acidicapsa acidiphila	2017
Acidicapsa acidisoli	2017
Acidicapsa borealis	2012
Acidicapsa dinghuensis	2018
Acidicapsa ferrireducens	2017
Acidicapsa ligni	2012
Acidiferrobacter thiooxydans	2011
Acidihalobacter prosperus	2015
Acidilobus aceticus	2000
Acidilobus saccharovorans	2009
Acidimicrobium ferrooxidans	1996
Acidiphilium acidophilum	1998
