index	Journal	Article Title	Year	Affiliation	Country
0	International journal of systematic and evolutionary microbiology	Leucothrix arctica sp. nov., isolated from Arctic seawater.	2018	2​Freshwater Bioresources Research Bureau, Nakdonggang National Institute of Biological Resources (NNIBR), 137 Donam 2-gil, Sangju 37242, Republic of Korea.	south korea
1	International journal of systematic and evolutionary microbiology	Hyphobacterium indicum sp. nov., isolated from deep seawater, and emended description of the genus Hyphobacterium.	2018	1​State Key Laboratory of Microbial Resources, Institute of Microbiology, Chinese Academy of Sciences, Beijing 100101, PR China.	china
4	International journal of systematic and evolutionary microbiology	Sphingopyxis lindanitolerans sp. nov. strain WS5A3pT enriched from a pesticide disposal site.	2018	1​Institute of Biochemistry and Biophysics, Polish Academy of Sciences, Pawinskiego 5a, 02-106 Warsaw, Poland.	poland
5	International journal of systematic and evolutionary microbiology	Mesosutterella multiformis gen. nov., sp. nov., a member of the family Sutterellaceae and Sutterella megalosphaeroides sp. nov., isolated from human faeces.	2018	1​Microbe Division/Japan Collection of Microorganisms, RIKEN BioResource Research Center, Tsukuba, Ibaraki 305-0074, Japan.	japan
6	International journal of systematic and evolutionary microbiology	Acinetobacter sichuanensis sp. nov., recovered from hospital sewage in China.	2018	1​Center of Infectious Diseases, West China Hospital, Sichuan University, Chengdu, PR China.	china
7	International journal of systematic and evolutionary microbiology	Enterobacter sichuanensis sp. nov., recovered from human urine.	2018	1​Center of Infectious Diseases, West China Hospital, Sichuan University, Chengdu, PR China.	china
8	International journal of systematic and evolutionary microbiology	Kribbella monticola sp. nov., a novel actinomycete isolated from soil.	2018	1​Key Laboratory of Agriculture Biological Functional Gene of Heilongjiang Provincial Education Committee, Northeast Agricultural University, No. 59 Mucai Street, Xiangfang District, Harbin 150030, PR China.	china
9	International journal of systematic and evolutionary microbiology	Halomonas litopenaei sp. nov., a moderately halophilic, exopolysaccharide-producing bacterium isolated from a shrimp hatchery.	2018	1​Fisheries College, Guangdong Ocean University, Zhanjiang, 524025, PR China.	china
10	International journal of systematic and evolutionary microbiology	Alsobacter soli sp. nov., a novel bacterium isolated from paddy soil, emended description of the genus Alsobacter and description of the family Alsobacteraceae fam. nov.	2018	1​Eco-Environmental Protection Research Institute, Shanghai Academy of Agricultural Sciences, Shanghai, 201403, PR China.	china
11	International journal of systematic and evolutionary microbiology	Microbacterium halophytorum sp. nov., a novel endophytic actinobacterium isolated from halophytes.	2018	1​Xinjiang Key Laboratory of Special Species Conservation and Regulatory Biology, College of Life Science, Xinjiang Normal University, Ürümqi, 830054, PR China.	china
